NOME,CATEGORIA,GRUPO,ESFERA,CRIAÇÃO,ATO LEGAL,ULTIMA ATUALIZAÇÃO,CODUC,ÓRGÃO GESTOR
PARQUE NATURAL MUNICIPAL FONTE DA SAUDADE,Parque,PI,municipal,"2000",Decreto nº 19143 de 16/11/2000,21/06/2016,0455.33.1807,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL RESERVA MATO GROSSO II,Reserva Particular do Patrimônio Natural,US,estadual,"2008",Portaria nº 269 de 14/11/2008,11/10/2011,0000.33.2274,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA BIOLÓGICA MARINHA DO ARVOREDO,Reserva Biológica,PI,federal,"1990",Decreto nº 99.142 de 12/03/1990,27/09/2007,0000.00.0214,Instituto Chico Mendes de Conservação da Biodiversidade
ESTAÇÃO ECOLÓGICA MAR DE ESPANHA,Estação Ecológica,PI,estadual,"1974",Decreto nº 16580 de 24/09/1974,03/09/2009,0000.31.0365,Instituto Estadual de Florestas de Minas Gerais
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL LEMKE,Reserva Particular do Patrimônio Natural,US,federal,"2010",Portaria nº 75 de 31/08/2010,26/08/2011,0000.00.2130,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMôNIO NATURAL SíTIO GRANDE,Reserva Particular do Patrimônio Natural,US,estadual,"2017",Portaria nº 14645 de 18/08/2017,18/08/2017,0000.29.3552,Secretaria do Meio Ambiente da Bahia
RESERVA PARTICULAR DO PATRIMONIO NATURAL MUTINGA,Reserva Particular do Patrimônio Natural,US,municipal,"2011",Portaria nº 12 de 05/02/2011,07/02/2012,5030.35.2562,Secretaria Municipal do Verde e do Meio Ambiente de São Paulo - SP
PARQUE ESTADUAL GUARIBA,Parque,PI,estadual,"2005",Decreto nº 24805 de 19/01/2005,05/02/2016,0000.13.1004,Secretaria de Estado do Meio Ambiente do Amazonas
ÁREA DE PROTEçãO AMBIENTAL RAPOSO,Área de Proteção Ambiental,US,municipal,"2014",Decreto nº 3362 de 10/02/2014,11/07/2017,0220.33.3035,Secretaria Municipal do Ambiente de Itaperuna - RJ
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL FRANCISCO BRAZ DE OLIVEIRA,Reserva Particular do Patrimônio Natural,US,federal,"2013",Portaria nº 237 de 17/10/2013,01/08/2014,0000.00.3081,Instituto Chico Mendes de Conservação da Biodiversidade
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL DOIS PEõES,Reserva Particular do Patrimônio Natural,US,estadual,"2011",Portaria nº 262 de 19/08/2011,05/10/2012,0000.33.2640,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA EXTRATIVISTA BARREIRO DAS ANTAS,Reserva Extrativista,US,federal,"2001",Decreto nº Decreto não numerado de 08/08/2001,01/02/2016,0000.00.0221,Instituto Chico Mendes de Conservação da Biodiversidade
PARQUE NACIONAL DE SAINT-HILAIRE/LANGE,Parque,PI,federal,"2001",Lei ordinária nº 10227 de 24/05/2001,07/02/2012,0000.00.0164,Instituto Chico Mendes de Conservação da Biodiversidade
APA DA SERRA DOS PRETOS FORROS,Área de Proteção Ambiental,US,municipal,"2000",Decreto nº 19145 de 16/11/2000,15/03/2011,0455.33.1797,Secretaria Municipal de Conservação e Meio Ambiente do Rio de Janeiro - RJ
ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DE SAPIATIBA,Área de Proteção Ambiental,US,estadual,"1990",Decreto nº 15.136 de 23/07/1990,01/08/2012,0000.33.0727,Instituto Estadual do Ambiente do Rio de Janeiro
RESERVA PARTICULAR DO PATRIMÔNIO NATURAL PARQUE BOTÂNICO DOS KAIAPÓS,Reserva Particular do Patrimônio Natural,US,federal,"2013",Portaria nº 206 de 16/07/2013,01/08/2014,0000.00.3106,Instituto Chico Mendes de Conservação da Biodiversidade
