NOMEUC,CODUC,PROCESSO,EMPREENDIMENTO,EMPREENDEDOR,DESTINACAO,APLICACAO,ACAODEST,ACAOAPL,REUNIAO,TIPO,ANO
PARQUE ESTADUAL DA SERRA DOS MARTÍRIOS/ANDORINHAS,0000.15.1021,02001.002029/2014-55,Projeto Ferro Carajás S11D,VALE S.A.,"0","1350000",,Aquisição,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE MARACÁ JIPIOCA,0000.00.0058,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","700000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DO CABO ORANGE,0000.00.0169,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","700000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DA SERRA DA BOCAINA,0000.00.0142,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","500000",,Manejo,"48",O,"2016"
PARQUE NACIONAL DOS LENÇOIS MARANHENSES,0000.00.0180,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","500000",,Manejo,"48",O,"2016"
APA MARINHA DO LITORAL CENTRO,0000.35.1723,02001.002615/2015-81,TERMINAL MARÍTIMO DA ALEMOA,ALEMOA S.A. IMÓVEIS E PARTICIPAÇÕES,"0","477033",,Manejo,"48",O,"2016"
MONUMENTO NATURAL DAS ILHAS CAGARRAS,0000.00.0034,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA,0000.00.0054,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DE TAMOIOS,0000.00.0063,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
ESTAÇÃO ECOLÓGICA TUPINAMBÁS,0000.00.0064,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS,0000.00.0071,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
PARQUE NACIONAL DA SERRA DOS ORGÃOS,0000.00.0152,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","400000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DA TIJUCA,0000.00.0154,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","400000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DO DESCOBRIMENTO,0000.00.0171,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","400000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL PAU BRASIL,0000.00.0176,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"400000","400000",Aquisição,Aquisição,"48",O,"2016"
PARQUE NACIONAL DO SUPERAGUI,0000.00.0178,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
RESERVA BIOLÓGICA DE SOORETAMA,0000.00.0201,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","400000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA DO LAGO PIRATUBA,0000.00.0209,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","400000",,Aquisição,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DA GUANABARA,0000.00.0263,02001.004292/2015-60,"Etapa 2: FPSO Cidade de Itaguaí, Desenvolvimento de Produção no Campo de Lula, Área de Iracema Norte",PETROBRAS,"0","400000",,Manejo,"48",O,"2016"
PARQUE NACIONAL DA LAGOA DO PEIXE,0000.00.0140,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","350000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DA SERRA DA BOCAINA,0000.00.0142,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","350000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA DE POÇO DAS ANTAS,0000.00.0215,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","350000",,Aquisição,"48",O,"2016"
RESERVA BIOLOGICA ESTADUAL DO SASSAFRAS,0000.42.1830,02001.003270/2014-00,BR 280 SC - SEGMENTO SÃO FRANCISCO DO SUL - JARAGUÁ DO SUL,EMPRESA DE PLANEJAMENTO E LOGÍSTICA S.A.,"0","350000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DA SERRA DE ITABAIANA,0000.00.0147,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","300000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA UNIÃO,0000.00.0217,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","300000",,Aquisição,"48",O,"2016"
PARQUE NACIONAL DA FURNA FEIA,0000.00.2633,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","300000",,Aquisição,"48",O,"2016"
ESTAÇÃO ECOLÓGICA DO TAIM,0000.00.0070,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","250000",,Aquisição,"48",O,"2016"
PARQUE ESTADUAL XIXOVÁ-JAPUÍ,0000.35.0833,02001.004997/2013-15,TERMINAL PORTUÁRIO DA BTP,BRASIL TERMINAL PORTUÁRIO S.A,"0","250000",,Manejo,"48",O,"2016"
APA MARINHA DO LITORAL CENTRO,0000.35.1723,02001.004997/2013-15,TERMINAL PORTUÁRIO DA BTP,BRASIL TERMINAL PORTUÁRIO S.A,"0","250000",,Manejo,"48",O,"2016"
RESERVA BIOLÓGICA DE COMBOIOS,0000.00.0195,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","200000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA GUARIBAS,0000.00.0196,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","200000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA DE SALTINHO,0000.00.0198,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","200000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA DO CÓRREGO GRANDE,0000.00.0205,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","200000",,Aquisição,"48",O,"2016"
RESERVA BIOLÓGICA DO TINGUÁ,0000.00.0212,02001.001091/2016-91,ATIVID PROD E ESCOAM PETRÓ E GÁS POLO PRÉ-SAL B.SANTOS ETAPA 2 FPSO MARICÁ - LULA ALTO,PETROBRAS,"0","200000",,Aquisição,"48",O,"2016"
PARQUE ESTADUAL ACARAI,0000.42.0791,02001.003270/2014-00,BR 280 SC - SEGMENTO SÃO FRANCISCO DO SUL - JARAGUÁ DO SUL,EMPRESA DE PLANEJAMENTO E LOGÍSTICA S.A.,"0","200000",,Aquisição,"48",O,"2016"
